time	normalized_intensity	sd	region
0	0.10349060689011	0.030181702179703	Bleached
1	0.134826401345704	0.0393936773749963	Bleached
2	0.155345800473625	0.0466908373763528	Bleached
3	0.172419050540581	0.0484138510772005	Bleached
4	0.187660520964731	0.0532835164595906	Bleached
5	0.205517292949981	0.0567658634211049	Bleached
6	0.222993026937207	0.0636938835880745	Bleached
7	0.234719785125827	0.0632545156202673	Bleached
8	0.246415153527169	0.0663588297404389	Bleached
9	0.258154881619987	0.0672854581365015	Bleached
10	0.267255916350342	0.0671549907677233	Bleached
11	0.27808534482713	0.0712225900953136	Bleached
12	0.284884810062617	0.0689445653413676	Bleached
13	0.295954020788626	0.0707319907529127	Bleached
14	0.304983060079961	0.0735185504208773	Bleached
15	0.312807781970126	0.0753517452490934	Bleached
16	0.319470074867566	0.0758282028114385	Bleached
17	0.32832190685261	0.0758577143956508	Bleached
18	0.334649532378532	0.0798875582759233	Bleached
19	0.341118743529618	0.0770114994505278	Bleached
20	0.347802610674637	0.0776745446319679	Bleached
21	0.354032692321582	0.0829492512689429	Bleached
22	0.359930917753368	0.0788364449183448	Bleached
23	0.364054101980422	0.0825049278316839	Bleached
24	0.368755787101065	0.081346904472690107	Bleached
25	0.377648599455078	0.081501218319978	Bleached
26	0.379237113533194	0.0810641193783627	Bleached
27	0.387480849540466	0.0828500326567878	Bleached
28	0.390762271996793	0.0800126301840588	Bleached
29	0.394748221387406	0.0820439285963276	Bleached
30	0.401432716498034	0.0847974524290384	Bleached
31	0.407383726040832	0.0858956643510059	Bleached
32	0.411519763776021	0.0843527017097563	Bleached
33	0.416768049667573	0.0857215708727179	Bleached
34	0.421158451037927	0.0852342053780097	Bleached
35	0.426559505681125	0.0884153406703015	Bleached
36	0.425111966828261	0.08538741610355	Bleached
37	0.4292177833335	0.0862775337883744	Bleached
38	0.433997532804156	0.0861318617781685	Bleached
39	0.438719315464329	0.0881351202787437	Bleached
40	0.439522104034655	0.0865084220427738	Bleached
41	0.444575414709575	0.0860970379805818	Bleached
42	0.443627575520054	0.0872199237559252	Bleached
43	0.451225682639481	0.0884131437778244	Bleached
44	0.454514433701587	0.085553703328478	Bleached
45	0.457309246558539	0.0886903324697682	Bleached
46	0.462940387069266	0.0890112355903254	Bleached
47	0.462093803947257	0.0874143619571599	Bleached
48	0.465784031947703	0.086990449420167107	Bleached
49	0.465978732530867	0.0875931349270849	Bleached
50	0.468975299705302	0.08579507123583	Bleached
51	0.469577817474691	0.0859674545008918	Bleached
52	0.474347860288238	0.0874956167187015	Bleached
53	0.474841350053306	0.0869375968805489	Bleached
54	0.475900532952901	0.0851065126435748	Bleached
55	0.477511859935884	0.0882873194848435	Bleached
56	0.48347221227331	0.0873785905606744	Bleached
57	0.484575609347506	0.0885290202983489	Bleached
58	0.486493144209765	0.0889395867411473	Bleached
59	0.490881831826285	0.0907843277460343	Bleached
60	0.491056648718755	0.0890856281385869	Bleached
61	0.496703671521402	0.0893888030345566	Bleached
62	0.494359669215019	0.0900320964289113	Bleached
63	0.498039223375551	0.088614817232823	Bleached
64	0.49885152922281	0.0864978272836665	Bleached
65	0.501512724678888	0.0890278536667055	Bleached
66	0.499879523270682	0.0904908901657734	Bleached
67	0.505823472121392	0.0879334940307099	Bleached
68	0.50746006799313	0.0897027462423966	Bleached
69	0.508499552448187	0.0902886194541166	Bleached
70	0.510912600833525	0.0919282231958691	Bleached
71	0.511391042820864	0.0927760981565703	Bleached
72	0.513143370661918	0.0898589178618367	Bleached
73	0.513736991596791	0.0909758700464316	Bleached
74	0.516476112557644	0.0913849020717088	Bleached
75	0.518928758899276	0.0955754922541692	Bleached
76	0.52082497079355	0.0937471334342961	Bleached
77	0.525600099959459	0.0940912677889297	Bleached
78	0.525755426845394	0.0924378503428586	Bleached
79	0.527062541503877	0.092685760165923	Bleached
80	0.527737877702223	0.0944049210200462	Bleached
81	0.532136275846901	0.0969097128341814	Bleached
82	0.533666507836298	0.0957455572981657	Bleached
83	0.533968294966906	0.0926066256468148	Bleached
84	0.53484911750823	0.0935997439358102	Bleached
85	0.536353025390716	0.0938498855438505	Bleached
86	0.536582714524488	0.0910016171480551	Bleached
87	0.53635220600134	0.0932823568975033	Bleached
88	0.539657547251393	0.0926588875635918	Bleached
89	0.544466847454188	0.094551724751987	Bleached
90	0.544116043205775	0.0910021436968382	Bleached
91	0.546960293653163	0.0917301308991545	Bleached
92	0.549836931936948	0.0932795253112484	Bleached
93	0.552917609469251	0.0909991318231171	Bleached
94	0.55211753107831	0.0909967052944271	Bleached
95	0.558046718734043	0.0919025807437748	Bleached
96	0.560277642580965	0.0915995980015585	Bleached
0	1.03292661338075	0.0542073448020212	Un-bleached
1	1.04291042800317	0.0456867713114844	Un-bleached
2	1.03452549134315	0.0530066124531843	Un-bleached
3	1.02415154149855	0.0567254950830307	Un-bleached
4	1.01627291334428	0.057229728456487	Un-bleached
5	1.00998750669768	0.0522693108220057	Un-bleached
6	0.999172082001769	0.057880333995438	Un-bleached
7	0.999670307134172	0.0555248190116044	Un-bleached
8	0.990125887195789	0.0647647591342545	Un-bleached
9	0.992003704550809	0.0615120193132248	Un-bleached
10	0.982915971274255	0.0590926956653439	Un-bleached
11	0.97934357136593	0.0645560198184342	Un-bleached
12	0.969867650960797	0.0657077041671053	Un-bleached
13	0.970660739534977	0.0663420748736451	Un-bleached
14	0.962699769945967	0.0710244370242807	Un-bleached
15	0.958042105098131	0.0668503821720034	Un-bleached
16	0.95580150830533	0.0744706863219981	Un-bleached
