time	normalized_intensity	sd	region
0	0.321331951257033	0.0135012230696354	Bleached
1	0.431484455268619	0.0217825400274662	Bleached
2	0.499186696408699	0.0411562982549427	Bleached
3	0.557074065136668	0.0249981497190227	Bleached
4	0.591831048148445	0.0379826455147605	Bleached
5	0.630394135628099	0.0287386526110248	Bleached
6	0.662422117446557	0.0335789487965952	Bleached
7	0.684214396576454	0.0434947970402975	Bleached
8	0.715123120259164	0.0374300906975987	Bleached
9	0.729873258410841	0.0293226350752623	Bleached
10	0.748808933212643	0.029837317203802	Bleached
11	0.761343588924026	0.0251878448836494	Bleached
12	0.761464863243535	0.0291997579881357	Bleached
13	0.77928176672569	0.0246996336830969	Bleached
14	0.799066557294959	0.0258113942509739	Bleached
15	0.798748476549422	0.0305042962661972	Bleached
16	0.818993372606254	0.0229603416048569	Bleached
17	0.818344414819612	0.0094131052285191	Bleached
18	0.826639466721001	0.0270883905481277	Bleached
19	0.82281207032705	0.0137138511997682	Bleached
20	0.850140913063614	0.00955731697771531	Bleached
21	0.841768237971231	0.0235501412912351	Bleached
22	0.849150339992924	0.0180965797749062	Bleached
23	0.85731006206373	0.0178838836432355	Bleached
24	0.866916675994722	0.00570362514472427	Bleached
25	0.868715795910818	0.00406605868517432	Bleached
26	0.886108362714016	0.00985553075373088	Bleached
27	0.887377402201408	0.0397997770592502	Bleached
28	0.88072876335584	0.0137932526176938	Bleached
29	0.893434272964952	0.0144088996668489	Bleached
30	0.895477477724835	0.0130532227828064	Bleached
31	0.900118950213739	0.0047209111695158	Bleached
32	0.904861328590799	0.0144914728823803	Bleached
33	0.916266491713272	0.0106583370696608	Bleached
34	0.921423137584492	0.028783188909157	Bleached
35	0.915964442555325	0.0267451803537686	Bleached
36	0.927874537897934	0.0281760346257279	Bleached
37	0.92994293025891706	0.0171601568643706	Bleached
38	0.925749496743382	0.0258966473009461	Bleached
39	0.921863479241848	0.0349218773259933	Bleached
40	0.933276327430352	0.0351844320526907	Bleached
41	0.938889957016464	0.0342724748194024	Bleached
42	0.947827324998442	0.053697725005951	Bleached
43	0.930016580970033	0.0526277110772729	Bleached
44	0.95005496637986	0.0603376240916495	Bleached
45	0.952759506280287	0.0564967327877741	Bleached
46	0.957657687496184	0.0330862324910269	Bleached
47	0.946409317208829	0.044131781767526	Bleached
48	0.95694896376849	0.0608727333927596	Bleached
49	0.950563953595105	0.0468700083645339	Bleached
50	0.960520861796624	0.0631745770494363	Bleached
51	0.953965240402792	0.0475366602501793	Bleached
52	0.965961893246156	0.0533582182836697	Bleached
53	0.967008834754004	0.0575329757360683	Bleached
54	0.965608500396224	0.055674605099245	Bleached
55	0.963904448734325	0.0539958839333106	Bleached
56	0.970988549564345	0.0402126615540698	Bleached
57	0.983184880660388	0.0535260765774097	Bleached
58	0.961683292066672	0.0303901332580863	Bleached
59	0.963000969067382	0.0426712508351736	Bleached
60	0.965033466561422	0.0454355869246591	Bleached
61	0.952199779100376	0.0276437628039226	Bleached
62	0.95794521439773	0.0279735720784687	Bleached
63	0.968265630792654	0.0387336251903222	Bleached
64	0.949812991100082	0.0249669624942251	Bleached
65	0.958628736880168	0.0304240837843455	Bleached
66	0.968469238584355	0.038124406624345	Bleached
67	0.966448324297171	0.0275709628813464	Bleached
68	0.965095339580844	0.0287599651618576	Bleached
69	0.953872662692214	0.0257201222477275	Bleached
70	0.975146408659989	0.0187973042133623	Bleached
71	0.976062460555546	0.024951112013512	Bleached
72	0.96367979500209	0.0429496534935216	Bleached
73	0.969774395852042	0.0292044047002915	Bleached
74	0.967489098586937	0.030900510674691	Bleached
75	0.958617794825458	0.0311258248465116	Bleached
