ACC#	body	xenopus	human
A0AVK6	Nucleoli	Non Dynamic	Non Cdk target
A0JLT2	Superenhancers-Mediator	Non Dynamic	Non Cdk target
A0PK00	Nucleoli	Non Dynamic	Non Cdk target
A1KZ92	Stress granules	Non Dynamic	Non Cdk target
A1L020	Stress granules,P-bodies	Non Dynamic	Non Cdk target
A1L162	Nucleoli	Non Dynamic	Non Cdk target
A1L190	Nucleoli	Non Dynamic	Non Cdk target
A1L1A9	Superenhancers-Mediator	Non Dynamic	Non Cdk target
A1X283	Nucleoli	Non Dynamic	Non Cdk target
A1Z1Q3	Nucleoli	Non Dynamic	Non Cdk target
A2A2Z9	Nucleoli	Non Dynamic	Non Cdk target
A2RRP1	Nucleoli	Non Dynamic	Non Cdk target
A2VDJ0	Nucleoli	Non Dynamic	Non Cdk target
A4D126	Nucleoli	Non Dynamic	Non Cdk target
A4D1E9	Nucleoli	Non Dynamic	Non Cdk target
A4FUJ8	Superenhancers-Mediator	Non Dynamic	Non Cdk target
A4IF30	Nucleoli	Non Dynamic	Non Cdk target
A5YKK6	Stress granules,Superenhancers-Mediator	Non Dynamic	Non Cdk target
A6NDG6	Stress granules	Non Dynamic	Non Cdk target
A6NEL2	Nucleoli	Non Dynamic	Non Cdk target
A6NFT4	Nucleoli	Non Dynamic	Non Cdk target
A6NGC4	Nucleoli	Non Dynamic	Non Cdk target
A6NHJ4	Nucleoli	Non Dynamic	Non Cdk target
A6NHQ2	Nucleoli	Non Dynamic	Non Cdk target
A6NHR9	Nucleoli	Non Dynamic	Non Cdk target
A6NIK2	Nucleoli	Non Dynamic	Non Cdk target
A6NJB7	Nucleoli	Non Dynamic	Non Cdk target
A6NKD9	Nucleoli	Non Dynamic	Non Cdk target
A6NKT7	Stress granules	Non Dynamic	Cdk target
A6NML5	Nucleoli	Non Dynamic	Non Cdk target
A6NNA5	Nucleoli	Non Dynamic	Non Cdk target
A6NNL5	Nucleoli	Non Dynamic	Non Cdk target
A7KAX9	Nucleoli	Non Dynamic	Non Cdk target
A8K855	Nucleoli	Non Dynamic	Non Cdk target
A8MQB8	Stress granules	Non Dynamic	Non Cdk target
A8MUB1	Stress granules	Non Dynamic	Non Cdk target
A8MV24	Nucleoli	Non Dynamic	Non Cdk target
A8MV65	Nucleoli	Non Dynamic	Non Cdk target
A8MXV4	Nucleoli	Non Dynamic	Non Cdk target
A8MZ59	Nucleoli	Non Dynamic	Non Cdk target
A9UHW6	Nucleoli	Non Dynamic	Non Cdk target
B1ANR0	Stress granules	Non Dynamic	Non Cdk target
B2CW77	Nucleoli	Non Dynamic	Non Cdk target
B2RD01	Nucleoli	Non Dynamic	Non Cdk target
B4DP21	Stress granules	Non Dynamic	Non Cdk target
B4DQ14	Stress granules	Non Dynamic	Non Cdk target
B4DT77	Stress granules	Non Dynamic	Non Cdk target
B4DUC5	Stress granules	Non Dynamic	Non Cdk target
B4DUI3	Stress granules	Non Dynamic	Non Cdk target
B4DUR8	Stress granules	Non Dynamic	Non Cdk target
B4DVY1	Stress granules	Non Dynamic	Non Cdk target
B4E241	Stress granules	Non Dynamic	Non Cdk target
B4E2B6	Stress granules	Non Dynamic	Non Cdk target
B4E3L0	Stress granules	Non Dynamic	Non Cdk target
B7Z5C0	Stress granules	Non Dynamic	Non Cdk target
B8ZZ10	Stress granules	Non Dynamic	Non Cdk target
B9ZVT1	Stress granules	Non Dynamic	Non Cdk target
C1H0Q3	Superenhancers-Mediator	Non Dynamic	Non Cdk target
C9J0J7	Stress granules	Non Dynamic	Non Cdk target
C9J0K6	Stress granules	Non Dynamic	Non Cdk target
C9J202	Nucleoli	Non Dynamic	Non Cdk target
C9J442	Nucleoli	Non Dynamic	Non Cdk target
C9JIS1	Stress granules	Non Dynamic	Non Cdk target
C9JN71	Nucleoli	Non Dynamic	Non Cdk target
C9JZJ5	Stress granules	Non Dynamic	Non Cdk target
D6R9P3	Stress granules	Non Dynamic	Non Cdk target
E7EMC6	Stress granules	Non Dynamic	Non Cdk target
E7EP00	Stress granules	Non Dynamic	Non Cdk target
E7ETU5	Stress granules	Non Dynamic	Non Cdk target
